earnings_tercile,wealth_quintile,b_model_units,z_state_1based,annual_gross_income_model_units,joint_probability,R_b_plus_Y,cashflow_positive,within_selected_B_grid_support
3,4,0.2260782518101511,4,0.1218354457042188,0,0.3863150238141597,True,True
3,4,0.2260782518101511,5,0.1783644947552324,0,0.4428440728651734,True,True
3,4,0.2260782518101511,6,0.2611218172626402,0,0.5256013953725811,True,True
3,4,0.2260782518101511,7,0.3822767728751881,0,0.646756350985129,True,True
3,4,0.2260782518101511,8,0.5596450446455145,0,0.8241246227554553,True,True
3,4,0.2260782518101511,9,0.8193084126995582,0.02447716482036915,1.083787990809499,True,True
3,4,0.2260782518101511,10,1.19945004703018,0.02461338937294243,1.463929625140121,True,True
3,4,0.2260782518101511,11,1.75596929437153,0.01230669468647122,2.020448872481471,True,True
3,4,0.2260782518101511,12,2.570701606465538,0.004475161704171352,2.835181184575479,True,True
3,4,0.2260782518101511,13,3.763452339780069,0.001118790426042838,4.02793191789001,True,True
3,4,0.2260782518101511,14,5.509613981713583,0.0001721216040065904,5.774093559823524,True,True
3,4,0.2260782518101511,15,8.065957394127043,1.229440028618503e-05,8.330436972236983,True,True
3,5,1.137375406600756,1,0.0388301798152725,0,1.369398535160647,True,True
3,5,1.137375406600756,2,0.05684655531872104,0,1.387414910664096,True,True
3,5,1.137375406600756,3,0.0832221449135139,0,1.413790500258889,True,True
3,5,1.137375406600756,4,0.1218354457042188,0,1.452403801049593,True,True
3,5,1.137375406600756,5,0.1783644947552324,0,1.508932850100607,True,True
3,5,1.137375406600756,6,0.2611218172626402,0,1.591690172608015,True,True
3,5,1.137375406600756,7,0.3822767728751881,0,1.712845128220563,True,True
3,5,1.137375406600756,8,0.5596450446455145,0,1.890213399990889,True,True
3,5,1.137375406600756,9,0.8193084126995582,0.02419327389643364,2.149876768044933,True,True
3,5,1.137375406600756,10,1.19945004703018,0.02432791849011966,2.530018402375555,True,True
3,5,1.137375406600756,11,1.75596929437153,0.01216395924505983,3.086537649716905,True,True
3,5,1.137375406600756,12,2.570701606465538,0.004423257907294484,3.901269961810913,True,True
3,5,1.137375406600756,13,3.763452339780069,0.001105814476823621,5.094020695125444,True,True
3,5,1.137375406600756,14,5.509613981713583,0.0001701253041267109,6.840182337058958,True,True
3,5,1.137375406600756,15,8.065957394127043,1.215180743762221e-05,9.396525749472417,True,True
