f_c_y,control,K,rows,unsupported
1998,0,-15,7,0
1998,0,-14,9,0
1998,0,-13,14,0
1998,0,-12,18,0
1998,0,-11,21,0
1998,0,-10,23,0
1998,0,-9,28,0
1998,0,-8,31,0
1998,0,-7,32,0
1998,0,-6,36,0
1998,0,-5,41,0
1998,0,-4,61,0
1998,0,-3,63,0
1998,0,-2,69,0
1998,0,-1,90,0
1998,0,1,90,0
1998,0,3,89,0
1998,0,5,92,0
1998,0,7,91,0
1998,0,9,82,0
1998,0,11,82,0
1998,0,13,77,0
1998,0,15,74,0
1998,0,17,70,0
1998,0,19,68,0
1998,0,21,68,0
1999,0,-22,1,0
1999,0,-21,1,0
1999,0,-20,3,0
1999,0,-19,3,0
1999,0,-18,4,0
1999,0,-17,5,0
1999,0,-16,5,0
1999,0,-15,8,0
1999,0,-14,9,0
1999,0,-13,12,0
1999,0,-12,14,0
