cell,form,psi_child,kappa_fert,gamma_e,CF,childless,joint_distance,own_family_gap,share_3plus,pp12_flow,pp23_flow,mean_age_first_birth,market_residual
78,sqrt,1.5,0.5,0.0,2.5790192903881994,1.1803276994685681e-05,1.118651084248638,0.20789268273036648,0.5786713234445485,0.7689003176930331,0.7526049104982512,18.799688602380133,1.162306958265657e-05
79,sqrt,1.5,1.0,0.0,2.4991312869813047,0.00019460541047017666,1.0897326250490778,0.19505755268994407,0.5323509429341823,0.7541813401693247,0.7060033624199858,19.8133780613988,4.034810725381379e-06
80,sqrt,1.5,1.8,0.0,2.3503220705967673,0.0018300907038700635,1.0314320157106536,0.1658106709275169,0.4527960677038024,0.7195545171564925,0.630426513242296,20.982288863423058,6.7350305427613115e-06
81,sqrt,1.5,3.0,0.0,2.1723674126506394,0.00809363892886374,0.9333392460497062,0.1356009386234922,0.36718796728917985,0.6718354910371238,0.5510040897115395,22.148750185836555,1.2442986653413334e-05
82,sqrt,1.5,6.0,0.0,1.9376586633143469,0.026843258293922315,0.734925543522413,0.10935823193134758,0.2705880912383279,0.6018337720187075,0.4620078214050805,23.522349020936417,1.4891933763202507e-05
83,sqrt,1.5,10.0,0.0,1.8102784236872567,0.04299498728841992,0.5980630552596494,0.09813272752592472,0.22553402486659127,0.5616749852697872,0.41957806389822905,24.208077714083185,1.0466785537204941e-05
84,sqrt,1.5,15.9109,0.0,1.7305606418669406,0.055474711583782796,0.5064651310295715,0.09242804535420202,0.19981803596635794,0.5360259907329004,0.39467102910660035,24.619738897813157,1.0672632050889308e-05
85,sqrt,2.0,0.5,0.0,2.5909044875238187,3.3897604574802005e-06,1.1230502182343862,0.20610945915140372,0.5860485836905817,0.7704424717535806,0.7606675266287909,18.503222910582426,9.372048393234364e-06
86,sqrt,2.0,1.0,0.0,2.5445529753828415,5.874073191350745e-05,1.1060884562984508,0.20026735653548927,0.5581689384973977,0.7632200334634853,0.731377194946871,19.325988378647367,6.564850239153424e-06
87,sqrt,2.0,1.8,0.0,2.4349396303108235,0.0006179645151996855,1.0660778204484493,0.1814579374761689,0.49714057576839704,0.7400180929602196,0.6722105644895002,20.355719471475012,2.570270965302719e-06
88,sqrt,2.0,3.0,0.0,2.278586595285351,0.0036636209554561172,0.9967495743946323,0.15205532781308773,0.41696237304133354,0.7010713547479123,0.596937215703852,21.466499234003823,1.4166929850883197e-05
89,sqrt,2.0,6.0,0.0,2.0310500679625485,0.017777811761117857,0.8232905885799006,0.11689483461544359,0.30682870132885925,0.6304761844478971,0.4954702180469966,22.99282534477893,1.1551307458561703e-06
90,sqrt,2.0,10.0,0.0,1.8784603600786969,0.033797414180227324,0.6731965243609297,0.10340721472819192,0.24901601063971363,0.5833511179492759,0.44180338756926313,23.844585547728062,7.733982919548624e-06
91,sqrt,2.0,15.9109,0.0,1.7776256323885153,0.04788714274987047,0.5608004677011897,0.09555902064532729,0.21476653239109747,0.5512367846384807,0.4092041082672821,24.37750811996862,1.0293860055996378e-05
92,sqrt,2.7233,0.5,0.0,2.5963202723800336,9.114863396625785e-07,1.1250658436622611,0.20326410652489363,0.5894632858103659,0.7710732865711256,0.7644718519783555,18.296064055287705,9.830710754394466e-06
93,sqrt,2.7233,1.0,0.0,2.5740426089952084,1.6210937861023084e-05,1.1168224393167485,0.20159614051890173,0.5756210701506728,0.7682017748037794,0.7493218833710674,18.88975035860629,1.1130486291883118e-05
94,sqrt,2.7233,1.8,0.0,2.503464463864728,0.00017623354715376777,1.091302013275908,0.1923023738108176,0.534734899995103,0.7551449174786778,0.7082470412091776,19.765298650624793,6.404395890442078e-06
95,sqrt,2.7233,3.0,0.0,2.3809496138932342,0.0012870449202096491,1.0446148689304064,0.1696950385411033,0.468535451664218,0.7272229963111037,0.6451105903896758,20.758650345122323,5.036476923383661e-06
