f_c_y,control,K,rows
1990,0,13,44
1990,0,15,45
1990,0,17,46
1990,0,19,45
1990,0,21,45
1990,0,23,43
1990,0,25,36
1990,0,27,31
1990,0,29,32
1991,0,-14,1
1991,0,-13,2
1991,0,-12,6
1991,0,-11,8
1991,0,-10,8
1991,0,-6,18
1991,0,-5,23
1991,0,-4,27
1991,0,-3,31
1991,0,-2,42
1991,0,-1,50
1991,0,0,56
1991,0,1,56
1991,0,2,60
1991,0,3,61
1991,0,4,67
1991,0,5,66
1991,0,6,54
1991,0,8,55
1991,0,10,59
1991,0,12,55
1991,0,14,59
1991,0,16,58
1991,0,18,52
1991,0,20,52
1991,0,22,50
1991,0,24,47
1991,0,26,45
1991,0,28,42
1992,0,-17,2
1992,0,-16,3
1992,0,-15,1
1992,0,-14,2
1992,0,-13,3
1992,0,-12,3
1992,0,-11,6
1992,0,-7,16
1992,0,-6,20
1992,0,-5,22
1992,0,-4,24
1992,0,-3,27
1992,0,-2,39
1992,0,-1,40
1992,0,0,44
1992,0,1,49
1992,0,2,52
1992,0,3,51
1992,0,4,53
1992,0,5,44
1992,0,7,46
1992,0,9,44
1992,0,11,43
1992,0,13,41
1992,0,15,43
1992,0,17,47
1992,0,19,49
1992,0,21,45
1992,0,23,44
1992,0,25,44
1992,0,27,40
1993,0,-15,1
1993,0,-14,1
1993,0,-13,1
1993,0,-12,3
1993,0,-8,8
1993,0,-7,10
1993,0,-6,15
1993,0,-5,17
1993,0,-4,23
1993,0,-3,26
1993,0,-2,30
1993,0,-1,37
1993,0,0,46
1993,0,1,60
1993,0,2,62
1993,0,3,61
1993,0,4,57
1993,0,6,61
1993,0,8,60
1993,0,10,59
1993,0,12,60
1993,0,14,60
1993,0,16,56
1993,0,18,53
1993,0,20,49
1993,0,22,48
1993,0,24,40
1993,0,26,39
1994,0,-19,2
1994,0,-18,2
1994,0,-17,3
1994,0,-16,3
1994,0,-15,4
1994,0,-14,4
1994,0,-13,5
1994,0,-9,9
1994,0,-8,12
1994,0,-7,13
1994,0,-6,19
1994,0,-5,27
1994,0,-4,28
1994,0,-3,30
1994,0,-2,34
1994,0,-1,38
1994,0,0,52
1994,0,1,60
1994,0,2,59
1994,0,3,50
1994,0,5,59
1994,0,7,62
1994,0,9,60
1994,0,11,62
1994,0,13,59
1994,0,15,56
1994,0,17,56
1994,0,19,50
1994,0,21,48
1994,0,23,51
1994,0,25,47
1995,0,-19,1
1995,0,-18,1
1995,0,-17,1
1995,0,-16,1
1995,0,-15,1
1995,0,-14,1
1995,0,-10,4
1995,0,-9,5
1995,0,-8,7
1995,0,-7,6
1995,0,-6,9
1995,0,-5,15
1995,0,-4,15
1995,0,-3,17
1995,0,-2,23
1995,0,-1,33
1995,0,0,42
1995,0,1,41
1995,0,2,40
1995,0,4,44
1995,0,6,49
1995,0,8,43
1995,0,10,48
1995,0,12,47
1995,0,14,48
1995,0,16,47
1995,0,18,41
1995,0,20,41
1995,0,22,40
1995,0,24,39
1996,0,-16,1
1996,0,-15,2
1996,0,-11,2
1996,0,-10,1
1996,0,-9,3
1996,0,-8,5
1996,0,-7,6
