rep,exact_builder_sample__ratio_p90_p50,exact_builder_sample__ratio_p50,exact_builder_sample__ratio_p90,exact_builder_sample__wealth_p90_p50,exact_builder_sample__wealth_p50,exact_builder_sample__wealth_p90,no_children_history_filter__ratio_p90_p50,no_children_history_filter__ratio_p50,no_children_history_filter__ratio_p90,no_children_history_filter__wealth_p90_p50,no_children_history_filter__wealth_p50,no_children_history_filter__wealth_p90
63,3.7626188106921,6.80812395232487,25.616375248541,4.71325395185749,263754.224334545,1243140.6401639,3.7626188106921,6.80812395232487,25.616375248541,4.71325395185749,263754.224334545,1243140.6401639
64,3.86755773648944,7.10528451857492,27.4800981097731,5.39956803455724,255470.09160936,1379428.14043931,3.86755773648944,7.10528451857492,27.4800981097731,5.39956803455724,255470.09160936,1379428.14043931
65,3.32349421003594,7.43899950409728,24.7234717803275,5.88856304985337,235192.497944902,1384945.85300106,3.32349421003594,7.43899950409728,24.7234717803275,5.88856304985337,235192.497944902,1384945.85300106
66,3.61440051294576,7.3659936959381,26.6236513929539,4.79198243349964,266229.631104786,1275767.71553123,3.61440051294576,7.3659936959381,26.6236513929539,4.79198243349964,266229.631104786,1275767.71553123
67,3.35178949121135,7.59232188924848,25.447864722277,5.40151300495349,283955.282709431,1533788.15238024,3.35178949121135,7.59232188924848,25.447864722277,5.40151300495349,283955.282709431,1533788.15238024
68,3.59725890153942,7.50908240923532,27.0121135390148,4.66292134831461,255153.543106245,1189760.90324822,3.59725890153942,7.50908240923532,27.0121135390148,4.66292134831461,255153.543106245,1189760.90324822
69,4.5032233874456,7.09461120684321,31.94861911149,5.36031682171917,238812.248772474,1280109.31432768,4.5032233874456,7.09461120684321,31.94861911149,5.36031682171917,238812.248772474,1280109.31432768
70,3.33111293417674,7.11012755224798,23.6846378529397,4.62949083721313,276511.901489858,1280109.31432768,3.33111293417674,7.11012755224798,23.6846378529397,4.62949083721313,276511.901489858,1280109.31432768
71,3.91905008523769,6.48632676834079,25.4202394743455,6.15510831565597,254545.874755265,1566757.43042206,3.91905008523769,6.48632676834079,25.4202394743455,6.15510831565597,254545.874755265,1566757.43042206
72,3.92354853291206,5.88760158656127,23.1002905673232,4.56304985337243,235192.497944902,1073195.09326178,3.92354853291206,5.88760158656127,23.1002905673232,4.56304985337243,235192.497944902,1073195.09326178
73,3.36263670076306,7.43899950409728,25.0146527494357,4.98867547113484,276511.901489858,1379428.14043931,3.36263670076306,7.43899950409728,25.0146527494357,4.98867547113484,276511.901489858,1379428.14043931
74,4.22191284761195,5.92495715859809,25.0146527494357,5.48517827668112,205587.211194793,1127682.50480913,4.22191284761195,5.92495715859809,25.0146527494357,5.48517827668112,205587.211194793,1127682.50480913
75,3.36691911292847,7.39299098025137,24.8916026331161,4.36556179775281,255153.543106245,1113888.5603459,3.36691911292847,7.39299098025137,24.8916026331161,4.36556179775281,255153.543106245,1113888.5603459
76,3.26599637406905,6.88481345257272,22.4857757722444,5.75397244653515,216049.112454906,1243140.6401639,3.26599637406905,6.88481345257272,22.4857757722444,5.75397244653515,216049.112454906,1243140.6401639
77,3.91370837836185,6.99557056644986,27.3786231373364,4.88375873841652,254545.874755265,1243140.6401639,3.91370837836185,6.99557056644986,27.3786231373364,4.88375873841652,254545.874755265,1243140.6401639
78,3.49491187229797,7.83439289892703,27.380512754707,4.59814943618954,266229.631104786,1224163.62816142,3.49491187229797,7.83439289892703,27.380512754707,4.59814943618954,266229.631104786,1224163.62816142
79,3.4585240964412,7.94561418208709,27.4800981097731,5.86351212840279,255470.09160936,1497951.98059565,3.4585240964412,7.94561418208709,27.4800981097731,5.86351212840279,255470.09160936,1497951.98059565
80,3.89691586479151,6.57349969497263,25.616375248541,5.28005741321291,204155.364785017,1077952.04728032,3.89691586479151,6.57349969497263,25.616375248541,5.28005741321291,204155.364785017,1077952.04728032
81,3.29273969014944,7.10528451857492,23.395852344116,4.03775678187049,278088.693048379,1122854.5063176,3.29273969014944,7.10528451857492,23.395852344116,4.03775678187049,278088.693048379,1122854.5063176
82,3.78369500771553,7.54958131274561,28.565313123378,4.41120684983472,254545.874755265,1122854.5063176,3.78369500771553,7.54958131274561,28.565313123378,4.41120684983472,254545.874755265,1122854.5063176
83,3.67082448413618,6.92494004663026,25.4202394743455,5.55997552019584,234225.218784047,1302286.48265182,3.67082448413618,6.92494004663026,25.4202394743455,5.55997552019584,234225.218784047,1302286.48265182
84,3.52586660778641,7.09461120684321,25.0146527494357,4.95263350958769,220034.094757352,1089748.23094705,3.52586660778641,7.09461120684321,25.0146527494357,4.95263350958769,220034.094757352,1089748.23094705
85,3.37943270429843,7.40202718569262,25.0146527494357,4.37794510565946,283955.282709431,1243140.6401639,3.37943270429843,7.40202718569262,25.0146527494357,4.37794510565946,283955.282709431,1243140.6401639
86,3.55781985182515,7.59232188924848,27.0121135390148,4.72267998628536,310341.247654506,1465642.39921676,3.55781985182515,7.59232188924848,27.0121135390148,4.72267998628536,310341.247654506,1465642.39921676
87,3.93921190116092,6.75862382145721,26.6236513929539,5.825,220708.502470289,1285627.02688943,3.93921190116092,6.75862382145721,26.6236513929539,5.825,220708.502470289,1285627.02688943
88,3.38001609315094,7.8767824351199,26.6236513929539,3.97903145282077,276299.456529993,1099404.22793013,3.38001609315094,7.8767824351199,26.6236513929539,3.97903145282077,276299.456529993,1099404.22793013
89,3.82346775768614,6.96322110718304,26.6236513929539,5.38342163560589,238812.248772474,1285627.02688943,3.82346775768614,6.96322110718304,26.6236513929539,5.38342163560589,238812.248772474,1285627.02688943
90,3.12335253017349,7.83439289892703,24.469570883237,4.67268659523588,278088.693048379,1299421.30829383,3.12335253017349,7.83439289892703,24.469570883237,4.67268659523588,278088.693048379,1299421.30829383
91,3.701145885649,6.75862382145721,25.0146527494357,4.39365761832655,250853.202492095,1102163.08421101,3.701145885649,6.75862382145721,25.0146527494357,4.39365761832655,250853.202492095,1102163.08421101
92,3.22211546432438,7.76342531060748,25.0146527494357,4.44210526315789,262091.346683468,1164237.35053077,3.22211546432438,7.76342531060748,25.0146527494357,4.44210526315789,262091.346683468,1164237.35053077
93,3.60050353582687,7.83439289892703,28.2077593336437,5.06434699714013,289404.023864167,1465642.39921676,3.60050353582687,7.83439289892703,28.2077593336437,5.06434699714013,289404.023864167,1465642.39921676
